Mina,Regiao,Altitude,Ordem,Tipo,Massa,G1,G2,G3,FET,SIT,PT,ALT,MNT,PPCT,FE1,SI1,P1,AL1,MN1,PPC1,FE2,SI2,P2,AL2,MN2,PPC2,FE3,SI3,P3,AL3,MN3,PPC3,Global,independente_,UML_,ORDEM_
Mina_1,Regiao_3,80,6,2,5003,30.949037,34.797105,34.253807,52.001777000000004,6.8513839999999995,0.050091000000000004,10.617331,0.27076100000000003,6.941899,62.577783,2.53745,0.052248,3.4303410000000003,0.575149,3.485006,53.867135,6.685782000000001,0.043873,9.182233,0.16625299999999998,6.123366000000001,40.55112674,10.91732476,0.054491097,18.56879136,0.10186698400000001,10.89681325,100,Mina_1#Regiao_3,Mina_1#Regiao_3#80#6,23
Mina_1,Regiao_3,80,7,1,41115,0.001,0.001,0.002,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,100,Mina_1#Regiao_3,Mina_1#Regiao_3#80#7,24
Mina_1,Regiao_3,80,7,3,32302,24.542294000000002,40.367959,35.089746000000005,49.7698,9.674159,0.049194,11.023489999999999,0.21562199999999998,6.852539,60.00501,4.486065,0.051337,4.659182,0.544079,3.7647730000000004,51.428588,8.514097999999999,0.045721,10.276231,0.131833,6.624956,40.70286751,14.63736525,0.051748431,16.33448504,0.082288544,9.273963932000001,100,Mina_1#Regiao_3,Mina_1#Regiao_3#80#7,25
Mina_1,Regiao_3,80,8,1,18583,0.001,0.001,0.002,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,100,Mina_1#Regiao_3,Mina_1#Regiao_3#80#8,26
Mina_1,Regiao_3,70,1,4,93592,37.30630221,21.89136042,40.80233104,44.32024916,29.72741409,0.063385686,2.8737817210000003,1.083848787,2.3783185540000003,51.51802558,18.58690802,0.075909448,2.8172984789999997,1.485560248,2.681920899,51.91397268,16.83705123,0.074255737,3.571976067,1.5289417440000002,3.0072028439999996,33.66501186,46.8293691,0.046111575,2.550810367,0.477757461,1.763298126,100,Mina_1#Regiao_3,Mina_1#Regiao_3#70#1,27
Mina_1,Regiao_3,70,2,1,27344,30.708146000000003,23.774376,45.517501,39.904934999999995,34.641784,0.061860000000000005,3.397271,1.180142,2.866486,51.236168,18.292819,0.070711,3.135936,1.3330000000000002,2.9723479999999998,50.896615000000004,17.792659,0.068052,3.473321,1.660175,3.262305,26.51925608,54.47205186,0.052678302999999996,3.5338161789999996,0.826337268,2.5883724580000003,100,Mina_1#Regiao_3,Mina_1#Regiao_3#70#2,28
Mina_1,Regiao_3,70,2,2,19682,39.396293,28.535994,32.067738,60.237317000000004,8.638714,0.074974,1.835995,0.842195,2.025271,64.881998,2.5493,0.076928,1.27405,0.878652,1.9715,63.325141,3.8770860000000003,0.085611,1.66555,1.109018,2.099391,51.78346219,20.35698361,0.063065539,2.678066537,0.559857947,2.025356124,100,Mina_1#Regiao_3,Mina_1#Regiao_3#70#2,29
Mina_1,Regiao_3,70,2,3,30173,41.733332,25.086160999999997,33.1805,47.652868,18.001047,0.090416,3.771304,3.9130580000000004,4.106041,50.793308,11.785718,0.092513,3.401624,5.153041,4.352166,51.861644,10.02027,0.10984300000000001,4.4831900000000005,4.290411,4.862862000000001,40.52088616,31.85236645,0.073135032,3.6980840039999996,2.0681611909999997,3.224269102,100,Mina_1#Regiao_3,Mina_1#Regiao_3#70#2,30
Mina_1,Regiao_3,70,2,4,16540,37.808584,18.938723,43.252651,44.782203,32.728451,0.046327999999999994,1.4017979999999999,0.47117299999999995,1.204885,54.723773,18.842628,0.048975,1.042571,0.513376,1.1262889999999999,58.312289,11.948916,0.070674,1.569798,0.8841680000000001,1.827968,30.16766844,53.96509896,0.033383464,1.64226045,0.25350811,1.000764322,100,Mina_1#Regiao_3,Mina_1#Regiao_3#70#2,31
Mina_1,Regiao_3,70,3,1,5836,0.001,0.001,0.002,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,100,Mina_1#Regiao_3,Mina_1#Regiao_3#70#3,32
Mina_1,Regiao_3,70,3,2,56052,74.39262099999999,16.272613,9.334749,62.260831,2.674449,0.138558,3.084159,0.5776060000000001,4.045086,63.756981999999994,1.9159869999999999,0.124278,2.365262,0.5495180000000001,3.504122,60.109511,3.1795299999999997,0.19214900000000001,3.9017160000000004,0.6710520000000001,5.504429,54.08760613,7.838390252000001,0.159128699,7.3884873529999995,0.638421511,5.812323535,100,Mina_1#Regiao_3,Mina_1#Regiao_3#70#3,33
Mina_1,Regiao_3,70,3,3,53528,38.481371,23.964620999999998,37.553978,51.776711999999996,9.585096,0.108618,3.673129,5.129788,5.053089,54.0728,3.4998169999999997,0.10141,3.784476,6.717933,5.430683,55.844744999999996,4.095547,0.14793599999999998,3.7489,4.5402,5.7008589999999995,46.82798853,19.32372272,0.090927206,3.510677421,3.8786739139999997,4.252813369,100,Mina_1#Regiao_3,Mina_1#Regiao_3#70#3,34
Mina_1,Regiao_3,70,5,1,101180,0.001,0.001,0.002,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,100,Mina_1#Regiao_3,Mina_1#Regiao_3#70#5,35
Mina_1,Regiao_3,70,5,2,898,38.3753,34.3472,27.2775,58.1676,4.5381,0.0615,6.6801,0.0798,4.9276,63.9192,2.032,0.0618,3.0189,0.0829,3.2282,60.3004,3.8277,0.0555,5.2192,0.0719,4.2016,47.39044971,8.9582931,0.068660685,13.67042312,0.08533566,8.232739795,100,Mina_1#Regiao_3,Mina_1#Regiao_3#70#5,36
Mina_1,Regiao_3,70,6,1,84168,0.001,0.001,0.002,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,100,Mina_1#Regiao_3,Mina_1#Regiao_3#70#6,37
Mina_1,Regiao_3,70,6,3,86048,22.176548,36.402352,41.421110999999996,50.355338,7.489121000000001,0.047918,12.075989,0.079419,7.358148,63.00209399999999,3.385343,0.039904,3.525093,0.09831799999999999,2.750643,54.559961,6.42189,0.044215,8.951647,0.058293,5.7898879999999995,39.88921144,10.62419666,0.055456285999999994,19.39991083,0.087870611,11.20321762,100,Mina_1#Regiao_3,Mina_1#Regiao_3#70#6,38
Mina_1,Regiao_3,70,7,1,282796,0.001,0.001,0.002,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,100,Mina_1#Regiao_3,Mina_1#Regiao_3#70#7,39
Mina_1,Regiao_3,70,7,3,23111,17.463117999999998,42.874520000000004,39.662361,48.985123,10.298139,0.046697,11.566844999999999,0.08583500000000001,6.92812,60.76050600000001,4.772168,0.041444,4.665947,0.083828,3.113294,50.723956,8.953024000000001,0.045357999999999996,10.704305999999999,0.070453,6.787314,41.92083246,14.18535663,0.050451844,15.53765242,0.103462451,8.759911948,100,Mina_1#Regiao_3,Mina_1#Regiao_3#70#7,40
Mina_1,Regiao_3,70,8,1,37068,0.001,0.001,0.002,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,100,Mina_1#Regiao_3,Mina_1#Regiao_3#70#8,41
Mina_1,Regiao_3,70,8,2,2719,61.406606999999994,23.716907,14.876554,56.088967000000004,6.740360000000001,0.05562,8.17468,0.31784,4.5248870000000005,61.756496999999996,3.076955,0.045251,5.49604,0.105031,3.286478,50.99126,9.738361,0.066109,10.641394,0.6192310000000001,5.695667,40.821973299999996,17.08258468,0.081401182,15.29906684,0.7160954909999999,7.770453082,100,Mina_1#Regiao_3,Mina_1#Regiao_3#70#8,42
Mina_1,Regiao_3,60,2,1,6074,10.861981,19.757313,69.380735,23.476548,56.155145,0.069668,3.994189,1.9470630000000002,3.23732,33.733107000000004,32.13641,0.07459500000000001,6.698889,5.147943,5.26239,38.367073,33.037745,0.06493099999999999,4.395986,2.590621,3.6615349999999998,17.63051242,66.49850987,0.070236034,3.456312137,1.26268663,2.7994849489999996,100,Mina_1#Regiao_3,Mina_1#Regiao_3#60#2,43
Mina_1,Regiao_3,60,2,2,11482,36.826021000000004,29.109827000000003,34.064158,62.690405000000005,5.618066000000001,0.071534,1.6118370000000002,0.697652,1.917511,65.648368,2.126897,0.06840800000000001,1.026284,0.698627,1.7326080000000001,64.188517,3.244637,0.08153400000000001,1.496643,0.8999860000000001,2.010272,58.21232305,11.42056126,0.06636629,2.3432602819999997,0.523693082,2.038059954,100,Mina_1#Regiao_3,Mina_1#Regiao_3#60#2,44
Mina_1,Regiao_3,60,2,3,10725,30.42837,17.182767000000002,52.388897,45.398974,32.807725,0.029799000000000003,1.019507,0.32513400000000003,0.9097860000000001,60.163798,11.874611,0.034296,0.574912,0.45209799999999994,0.8875770000000001,58.70298199999999,12.820725999999999,0.044475,1.094626,0.586106,1.302132,32.45981376,51.52149357,0.022332312000000003,1.253157873,0.16574538,0.79401764,100,Mina_1#Regiao_3,Mina_1#Regiao_3#60#2,45
Mina_1,Regiao_3,60,2,4,10279,41.036249,27.234381,31.729371,44.916954,22.057191,0.090989,3.86001,3.711307,4.348751,50.034616,13.605019,0.09018999999999999,3.214709,4.981116,4.417123999999999,51.025424,11.936017,0.10388499999999999,3.9493339999999995,4.273985,4.889037999999999,33.0549244,41.67581965,0.08093001,4.6179524160000005,1.5860671290000001,3.7966375039999996,100,Mina_1#Regiao_3,Mina_1#Regiao_3#60#2,46
Mina_1,Regiao_3,60,3,1,12263,0.001,0.001,0.002,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,100,Mina_1#Regiao_3,Mina_1#Regiao_3#60#3,47
Mina_1,Regiao_3,60,3,2,84824,59.81887849,21.41805955,18.76304957,61.12468129,2.483992959,0.187619228,2.7563003939999997,0.768564482,5.7621143439999996,51.90575628,1.487890577,0.163358716,1.886316233,0.8229266679999999,4.9919806819999994,104.199914,3.9489594539999997,0.371248212,5.130171218,1.14228905,10.81174366,56.27236329,7.883504394,0.15145452199999998,4.288137152,1.0149807990000002,5.437691125,100,Mina_1#Regiao_3,Mina_1#Regiao_3#60#3,48
Mina_1,Regiao_3,60,5,1,115213,0.001,0.001,0.002,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,100,Mina_1#Regiao_3,Mina_1#Regiao_3#60#5,49
Mina_1,Regiao_3,60,5,2,37414,39.014488,32.836445,28.149095000000003,64.951198,1.6922,0.063385,1.620614,0.49221400000000004,2.463015,65.510713,0.889647,0.081514,1.011884,0.5157390000000001,3.0122619999999998,65.78704499999999,1.326111,0.053831,1.3438709999999998,0.48318999999999995,1.999686,63.20071106,3.231552303,0.049402444000000004,2.787134598,0.47023578200000005,2.242146487,100,Mina_1#Regiao_3,Mina_1#Regiao_3#60#5,50
Mina_1,Regiao_3,60,6,1,176760,0.001,0.001,0.002,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,100,Mina_1#Regiao_3,Mina_1#Regiao_3#60#6,51
Mina_1,Regiao_3,60,6,2,32979,35.949171,32.820508000000004,31.230321000000004,65.25777099999999,1.553293,0.05831,1.441402,0.35717899999999997,2.422526,65.385968,0.8920020000000001,0.083535,1.052273,0.272698,3.3278730000000003,66.12776099999999,1.2804149999999999,0.048304,1.245596,0.28153,1.890887,64.19590378,2.601279704,0.039755793,2.095178211,0.533933123,1.93910725,100,Mina_1#Regiao_3,Mina_1#Regiao_3#60#6,52
Mina_1,Regiao_3,60,7,1,257916,0.001,0.001,0.002,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,100,Mina_1#Regiao_3,Mina_1#Regiao_3#60#7,53
Mina_1,Regiao_3,50,2,1,12695,23.994265,18.029608,57.976177,29.415322999999997,47.908628,0.076027,2.703427,2.789083,3.061139,41.041158,26.509179999999997,0.07786,2.245489,6.083904,3.7747879999999996,41.942705,29.222664,0.06919,2.584756,3.363711,3.201019,20.70800336,62.57610384,0.077349049,2.929839953,1.24672639,2.722329116,100,Mina_1#Regiao_3,Mina_1#Regiao_3#50#2,54
