Mine,Region,Altitude,Order,Type,Mass,G1,G2,G3,FET,SIT,PT,ALT,MNT,PPCT,FE1,SI1,P1,AL1,MN1,PPC1,FE2,SI2,P2,AL2,MN2,PPC2,FE3,SI3,P3,AL3,MN3,PPC3,Global,Independent_,MMU_,Order_
M1,Region6,80,3,1,294435,4.864484,15.80451,74.871614,39.369693,35.418968,0.028957,1.281363,0.896308,1.347057,49.639817,20.893221,0.063359,1.606468,2.631091,2.768166,57.571437,12.739618,0.035257,0.946688,1.559456,1.48576,37.20514098,43.2596247,0.027101622,1.407206842,0.696999182,1.305684627,100,M1#Region6,M1#Region6#80#3,11
M1,Region6,80,3,2,27207,10.130154,24.90685,64.963018,56.205372,16.121997,0.032772,1.409537,0.663937,1.489784,63.795172,3.665613,0.033477,1.277325,1.225521,1.530411,62.712399,4.938037,0.042716,1.301893,1.042004,1.729419,52.52703197,22.35234474,0.028838159,1.471448218,0.431395602,1.391556138,100,M1#Region6,M1#Region6#80#3,12
M1,Region6,80,3,3,90095,6.968934,17.82924,75.201822,45.223649,26.704649,0.048575,2.048864,2.813786,2.55813,49.430566,11.970282,0.083726,2.330719,6.966301,4.719017,55.351163,8.379706,0.062835,1.639577,5.061677,3.265728,42.43272208,32.4146558,0.041928608,2.119779147,1.896022194,2.190109463,100,M1#Region6,M1#Region6#80#3,13
M1,Region6,80,3,4,465669,6.254673,18.936848,74.808479,43.89784,33.59852,0.034995,1.166122,0.719188,1.355424,52.926819,19.433852,0.053158,1.240851,1.249967,2.017459,60.111724,10.98398,0.034228,0.680427,0.741542,1.12205,39.03858424,40.50741511,0.033667493,1.282817942,0.669156287,1.359149235,100,M1#Region6,M1#Region6#80#3,14
M1,Region6,70,1,1,136287,4.683106,2.02485,2.02016,4.579612,2.099127,0.001424,0.030076,0.015721,0.041645,56.398518,18.884324,0.012221,0.198312,0.083201,0.328537,61.311425,11.143211,0.017521,0.326224,0.338489,0.504696,34.49949928,48.96251395,0.024630619,0.702189195,0.246065355,0.794146812,100,M1#Region6,M1#Region6#70#1,15
M1,Region6,70,1,2,3189,34.3972,16.2094,49.3933,57.0674,16.6903,0.0169,0.6006,0.0368,0.9702,63.5651,7.1929,0.019,0.4718,0.0248,1.1675,63.0791,7.1758,0.0227,0.7946,0.0813,1.4001,50.56960089,26.42667946,0.013642217,0.626532701,0.030502948,0.691725772,100,M1#Region6,M1#Region6#70#1,16
M1,Region6,70,1,3,23744,27.13297094,22.99254741,49.87448054,47.02185038,27.98981046,0.037625036,2.053154302,0.127097469,2.399256112,56.39105346,12.79853804,0.049620774,2.655906937,0.123080084,3.513256479,61.6858984,7.310980275,0.03714686,1.709478716,0.182682567,2.321481968,35.16453874,45.78737555,0.031329179,1.88371298,0.103666942,1.829072529,100,M1#Region6,M1#Region6#70#1,17
M1,Region6,70,2,1,227585,1.217677,2.306173,6.587327,4.222381,3.718684,0.003138,0.112324,0.084,0.125038,53.482065,19.548738,0.028756,0.812976,1.242069,1.324405,57.161749,14.990204,0.026028,0.566333,1.098102,1.02806,34.20049105,47.59053439,0.033214671,1.35655581,0.66116622,1.293484208,100,M1#Region6,M1#Region6#70#2,18
M1,Region6,70,2,3,2440,6.0848,29.0885,64.8268,47.9631,24.7529,0.0385,1.1671,2.775,1.7972,58.6728,7.9914,0.0322,0.5743,4.1835,1.5225,62.9921,4.1979,0.0257,0.3039,3.3557,1.0993,40.21417322,35.54942943,0.044847738,1.609989161,2.382265367,2.136033233,100,M1#Region6,M1#Region6#70#2,19
M1,Region6,70,2,4,79021,10.145319,23.358076,66.49662,43.658138,34.802081,0.026702,1.091726,0.506594,1.067598,54.035999,20.291208,0.021583,0.617765,0.737063,0.963977,58.572081,13.436021,0.024127,0.683867,0.735234,0.903385,36.83600692,44.52114851,0.028378287,1.307293224,0.391151751,1.141096724,100,M1#Region6,M1#Region6#70#2,20
